"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2025","81,583.30","81,869.47","81,890.15","81,427.01","21.49M","-0.26%"
"06/16/2025","81,796.15","81,034.45","81,865.82","81,012.31","11.42M","0.84%"
"06/13/2025","81,118.60","80,427.81","81,238.68","80,354.59","6.64M","-0.70%"
"06/12/2025","81,691.98","82,571.67","82,661.04","81,523.16","5.95M","-1.00%"
"06/11/2025","82,515.14","82,473.02","82,783.51","82,308.91","11.30M","0.15%"
"06/10/2025","82,391.72","82,643.73","82,680.79","82,240.40","15.06M","-0.06%"
"06/09/2025","82,445.21","82,574.55","82,669.00","82,369.24","11.48M","0.31%"
"06/06/2025","82,188.99","81,434.24","82,299.89","81,140.11","12.37M","0.92%"
"06/05/2025","81,442.04","81,196.08","81,911.13","80,983.73","9.75M","0.55%"
"06/04/2025","80,998.25","80,777.65","81,087.29","80,705.18","7.48M","0.32%"
"06/03/2025","80,737.51","81,492.50","81,774.23","80,575.09","31.98M","-0.78%"
"06/02/2025","81,373.75","81,214.42","81,474.26","80,654.26","9.91M","-0.09%"
"05/30/2025","81,451.01","81,465.69","81,698.21","81,286.45","12.57M","-0.22%"
"05/29/2025","81,633.02","81,591.03","81,816.89","81,106.98","6.78M","0.39%"
"05/28/2025","81,312.32","81,457.61","81,613.36","81,244.02","24.10M","-0.29%"
"05/27/2025","81,551.63","82,038.20","82,410.52","81,121.70","20.69M","-0.76%"
"05/26/2025","82,176.45","81,928.95","82,492.24","81,867.23","10.19M","0.56%"
"05/23/2025","81,721.08","80,897.00","81,905.17","80,897.00","11.96M","0.95%"
"05/22/2025","80,951.99","81,323.05","81,323.24","80,489.92","10.69M","-0.79%"
"05/21/2025","81,596.63","81,327.61","82,021.64","81,237.06","5.75M","0.51%"
"05/20/2025","81,186.44","82,116.17","82,250.42","81,153.70","10.54M","-1.06%"
"05/19/2025","82,059.42","82,354.92","82,424.10","81,964.57","8.08M","-0.33%"
"05/16/2025","82,330.59","82,392.63","82,514.81","82,146.95","15.35M","-0.24%"
"05/15/2025","82,530.74","81,354.43","82,718.14","80,762.16","12.59M","1.48%"
"05/14/2025","81,330.56","81,278.49","81,691.87","80,910.03","15.24M","0.22%"
"05/13/2025","81,148.22","82,249.60","82,572.81","81,043.69","16.20M","-1.55%"
"05/12/2025","82,429.90","80,803.80","82,495.97","80,651.07","10.65M","3.74%"
"05/09/2025","79,454.47","78,968.34","80,032.93","78,968.34","8.75M","-1.10%"
"05/08/2025","80,334.81","80,912.34","80,927.99","79,987.61","10.57M","-0.51%"
"05/07/2025","80,746.78","79,948.80","80,844.63","79,937.48","8.75M","0.13%"
"05/06/2025","80,641.07","80,907.24","80,981.58","80,481.03","12.48M","-0.19%"
"05/05/2025","80,796.84","80,661.62","81,049.03","80,657.71","8.79M","0.37%"
"05/02/2025","80,501.99","80,300.19","81,177.93","80,168.59","12.66M","0.32%"
"04/30/2025","80,242.24","80,370.80","80,525.61","79,879.15","12.23M","-0.06%"
"04/29/2025","80,288.38","80,396.92","80,661.31","80,122.02","16.19M","0.09%"
"04/28/2025","80,218.37","79,343.63","80,321.88","79,341.35","8.49M","1.27%"
"04/25/2025","79,212.53","79,830.15","80,130.66","78,605.81","13.24M","-0.74%"
"04/24/2025","79,801.43","80,058.43","80,173.92","79,724.55","8.23M","-0.39%"
"04/23/2025","80,116.49","80,142.09","80,254.55","79,506.90","11.98M","0.65%"
"04/22/2025","79,595.59","79,728.39","79,824.30","79,253.44","14.81M","0.24%"
"04/21/2025","79,408.50","78,903.09","79,635.05","78,776.06","12.62M","1.09%"
"04/17/2025","78,553.20","76,968.02","78,616.77","76,665.77","11.11M","1.96%"
"04/16/2025","77,044.29","76,996.78","77,110.23","76,543.77","9.50M","0.40%"
"04/15/2025","76,734.89","76,852.06","76,907.63","76,435.07","12.93M","2.10%"
"04/11/2025","75,157.26","74,835.49","75,467.33","74,762.84","14.23M","1.77%"
"04/09/2025","73,847.15","74,103.83","74,103.83","73,673.06","9.15M","-0.51%"
"04/08/2025","74,227.08","74,013.73","74,859.39","73,424.92","17.06M","1.49%"
"04/07/2025","73,137.90","71,449.94","73,403.99","71,425.01","29.37M","-2.95%"
"04/04/2025","75,364.69","76,160.09","76,258.12","75,240.55","11.68M","-1.22%"
"04/03/2025","76,295.36","75,811.86","76,493.74","75,807.55","6.92M","-0.42%"
"04/02/2025","76,617.44","76,146.28","76,680.35","76,064.94","10.75M","0.78%"
"04/01/2025","76,024.51","76,882.58","77,487.05","75,912.18","10.59M","-1.80%"
"03/28/2025","77,414.92","77,690.69","77,766.70","77,185.62","16.70M","-0.25%"
"03/27/2025","77,606.43","77,087.39","77,747.46","77,082.51","12.67M","0.41%"
"03/26/2025","77,288.50","78,021.45","78,167.87","77,194.22","10.48M","-0.93%"
"03/25/2025","78,017.19","78,296.28","78,741.69","77,745.63","12.67M","0.04%"
"03/24/2025","77,984.38","77,456.27","78,107.23","77,179.35","10.10M","1.40%"
"03/21/2025","76,905.51","76,155.00","77,041.94","76,095.26","8.52M","0.73%"
"03/20/2025","76,348.06","75,917.11","76,456.25","75,684.58","9.06M","1.19%"
"03/19/2025","75,449.05","75,473.17","75,568.38","75,201.48","12.19M","0.20%"
"03/18/2025","75,301.26","74,608.66","75,385.76","74,480.15","14.52M","1.53%"
"03/17/2025","74,169.95","73,830.03","74,376.35","73,796.06","7.37M","0.46%"
"03/13/2025","73,828.91","74,392.54","74,401.11","73,770.59","9.90M","-0.27%"
"03/12/2025","74,029.76","74,270.81","74,392.15","73,598.16","13.85M","-0.10%"
"03/11/2025","74,102.32","73,743.88","74,195.17","73,663.60","11.68M","-0.02%"
"03/10/2025","74,115.17","74,474.98","74,741.25","74,022.24","6.59M","-0.29%"
"03/07/2025","74,332.58","74,347.14","74,586.43","74,038.03","6.90M","-0.01%"
"03/06/2025","74,340.09","74,308.30","74,390.80","73,415.68","10.08M","0.83%"
"03/05/2025","73,730.23","73,005.37","73,933.80","72,894.05","9.25M","1.01%"
"03/04/2025","72,989.93","72,817.34","73,033.18","72,633.54","6.22M","-0.13%"
"03/03/2025","73,085.94","73,427.65","73,649.72","72,784.54","10.11M","-0.15%"
"02/28/2025","73,198.10","74,201.77","74,282.43","73,141.27","9.08M","-1.90%"
"02/27/2025","74,612.43","74,706.60","74,834.09","74,520.78","6.74M","0.01%"
"02/25/2025","74,602.12","74,440.30","74,785.08","74,400.37","10.70M","0.20%"
"02/24/2025","74,454.41","74,893.45","74,907.04","74,387.44","6.40M","-1.14%"
"02/21/2025","75,311.06","75,612.61","75,748.72","75,112.41","12.72M","-0.56%"
"02/20/2025","75,735.96","75,672.84","75,794.15","75,463.01","6.94M","-0.27%"
"02/19/2025","75,939.18","75,787.27","76,338.58","75,581.38","5.05M","-0.04%"
"02/18/2025","75,967.39","76,073.71","76,091.69","75,531.01","8.65M","-0.04%"
"02/17/2025","75,996.86","75,641.41","76,041.96","75,294.76","8.05M","0.08%"
"02/14/2025","75,939.21","76,388.99","76,483.06","75,439.64","9.25M","-0.26%"
"02/13/2025","76,138.97","76,201.10","76,764.53","76,013.43","6.93M","-0.04%"
"02/12/2025","76,171.08","76,188.24","76,459.72","75,388.39","10.45M","-0.16%"
"02/11/2025","76,293.60","77,384.98","77,387.28","76,030.59","9.83M","-1.32%"
"02/10/2025","77,311.80","77,789.30","77,849.58","77,106.89","7.03M","-0.70%"
"02/07/2025","77,860.19","78,119.60","78,356.98","77,475.74","10.95M","-0.25%"
"02/06/2025","78,058.16","78,513.36","78,551.66","77,843.99","7.99M","-0.27%"
"02/05/2025","78,271.28","78,704.60","78,735.41","78,216.25","7.99M","-0.40%"
"02/04/2025","78,583.81","77,687.60","78,658.59","77,402.37","11.75M","1.81%"
"02/03/2025","77,186.74","77,063.94","77,260.37","76,756.09","11.44M","-0.41%"
"02/01/2025","77,505.96","77,637.01","77,899.05","77,006.47","15.89M","0.01%"
"01/31/2025","77,500.57","76,888.89","77,605.96","76,833.87","12.63M","0.97%"
"01/30/2025","76,759.81","76,598.84","76,962.88","76,401.13","18.55M","0.30%"
"01/29/2025","76,532.96","76,138.24","76,599.73","75,975.80","10.16M","0.83%"
"01/28/2025","75,901.41","75,659.00","76,512.96","75,622.88","13.00M","0.71%"
"01/27/2025","75,366.17","75,700.43","75,925.72","75,267.59","9.54M","-1.08%"
"01/24/2025","76,190.46","76,455.35","76,985.95","76,091.75","7.82M","-0.43%"
"01/23/2025","76,520.38","76,414.52","76,743.54","76,202.12","11.19M","0.15%"
"01/22/2025","76,404.99","76,114.42","76,463.13","75,816.50","16.04M","0.75%"
"01/21/2025","75,838.36","77,261.72","77,337.36","75,641.87","32.92M","-1.60%"
"01/20/2025","77,073.44","76,978.53","77,318.94","76,584.84","11.34M","0.59%"
"01/17/2025","76,619.33","77,069.19","77,069.19","76,263.29","9.69M","-0.55%"
"01/16/2025","77,042.82","77,319.50","77,319.50","76,895.51","8.65M","0.42%"
"01/15/2025","76,724.08","76,900.14","76,991.05","76,479.70","12.79M","0.29%"
"01/14/2025","76,499.63","76,335.75","76,835.61","76,335.75","16.84M","0.22%"
"01/13/2025","76,330.01","76,629.90","77,128.35","76,249.72","13.55M","-1.36%"
"01/10/2025","77,378.91","77,682.59","77,919.70","77,099.55","8.46M","-0.31%"
"01/09/2025","77,620.21","78,206.21","78,206.21","77,542.92","6.83M","-0.68%"
"01/08/2025","78,148.49","78,319.45","78,319.45","77,486.79","10.09M","-0.06%"
"01/07/2025","78,199.11","78,019.80","78,452.74","77,925.09","9.40M","0.30%"
"01/06/2025","77,964.99","79,281.65","79,532.67","77,781.62","11.77M","-1.59%"
"01/03/2025","79,223.11","80,072.99","80,072.99","79,109.73","10.86M","-0.90%"
"01/02/2025","79,943.71","78,657.52","80,032.87","78,542.37","8.63M","1.83%"
"01/01/2025","78,507.41","78,265.07","78,756.49","77,898.30","4.96M","0.47%"
"12/31/2024","78,139.01","77,982.57","78,305.34","77,560.79","6.07M","-0.14%"
"12/30/2024","78,248.13","78,637.58","79,092.70","78,077.13","8.94M","-0.57%"
